City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
296,Temir,KZ,49.1414,57.13,70.41,48,16,8.61,few clouds
297,Beatrice,US,40.2681,-96.747,98.87,55,0,14.97,clear sky
298,Broken Hill,AU,-31.95,141.4333,44.24,59,100,7.31,overcast clouds
299,Katobu,ID,-4.9408,122.5276,73.42,92,79,3.98,broken clouds
300,Coquimbo,CL,-29.9533,-71.3436,56.93,88,75,10.36,broken clouds
301,Botou,CN,38.0667,116.5667,71.1,77,31,4.03,scattered clouds
302,Labuhan,ID,-6.8844,112.2051,75.34,88,21,7.4,few clouds
303,Nioro,GM,13.35,-15.75,80.1,79,72,8.28,moderate rain
304,Pendleton,US,45.6721,-118.7886,84.74,30,93,11.99,overcast clouds
305,Azanka,RU,58.0401,64.7893,66.29,84,99,4.7,overcast clouds
306,Balikpapan,ID,-1.2675,116.8289,76.19,100,20,3.44,few clouds
307,Batagay-Alyta,RU,67.8006,130.4114,59.85,64,99,1.95,overcast clouds
308,The Valley,AI,18.217,-63.0578,85.86,79,20,14.97,few clouds
309,Safaga,EG,26.7292,33.9365,88.27,41,6,12.33,clear sky
310,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,73,0,16.11,clear sky
311,Port Lincoln,AU,-34.7333,135.8667,52.99,63,97,14.54,overcast clouds
312,Ternate,ID,0.8,127.4,78.64,85,95,5.73,overcast clouds
313,Maceio,BR,-9.6658,-35.7353,76.44,78,20,5.75,few clouds
314,Pitkyaranta,RU,61.5734,31.4792,57.07,98,87,0.56,light rain
315,Bengkulu,ID,-3.8004,102.2655,73.89,89,92,4.12,overcast clouds
316,Gambela,ET,8.25,34.5833,72.21,79,100,2.71,overcast clouds
317,Garowe,SO,8.4054,48.4845,76.93,57,80,28.68,broken clouds
318,Ketchikan,US,55.3422,-131.6461,55.87,94,100,24.16,heavy intensity rain
319,Gurgentepe,TR,40.7883,37.6017,60.69,95,69,2.19,light rain
320,Champerico,GT,14.3,-91.9167,90.14,73,12,9.6,few clouds
321,Katsuura,JP,35.1333,140.3,76.78,88,5,3.71,clear sky
322,Avera,US,33.194,-82.5271,87.39,64,95,5.1,overcast clouds
323,Tomatlan,MX,19.9333,-105.25,89.42,61,36,9.73,scattered clouds
