City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,Bayir,37.2687,28.2167,64.92,30,0,4.07,TR,2022-07-05 22:32:25
122,Matara,5.9485,80.5353,78.08,86,100,9.42,LK,2022-07-05 22:32:25
123,Marquette,46.5333,-87.6335,58.82,95,59,9.4,US,2022-07-05 22:32:26
124,Cockburn Town,21.4612,-71.1419,81.34,77,3,18.14,TC,2022-07-05 22:32:26
125,Itoman,26.1247,127.6694,82.78,94,20,8.05,JP,2022-07-05 22:32:27
126,Padang,-0.9492,100.3543,75.25,81,87,3.11,ID,2022-07-05 22:32:27
127,Dukat,62.55,155.55,51.91,90,100,3.8,RU,2022-07-05 22:32:27
128,San Ramon,37.7799,-121.978,82.62,61,75,18.41,US,2022-07-05 22:32:04
129,Bilibino,68.0546,166.4372,64.0,50,100,11.99,RU,2022-07-05 22:32:21
130,Deputatskiy,69.3,139.9,47.01,55,97,4.56,RU,2022-07-05 22:32:28
131,Samarai,-10.6167,150.6667,82.56,78,61,8.79,PG,2022-07-05 22:32:28
132,Roald,62.5833,6.1333,54.75,82,100,16.11,NO,2022-07-05 22:32:29
133,Nikolskoye,59.7035,30.7861,60.69,92,27,4.45,RU,2022-07-05 22:32:29
134,Amapa,1.0,-52.0,72.21,96,33,1.16,BR,2022-07-05 22:32:29
135,Geraldton,-28.7667,114.6,55.81,94,100,10.36,AU,2022-07-05 22:31:27
136,Sola,-13.8833,167.55,80.96,79,42,20.96,VU,2022-07-05 22:33:30
137,Anshun,26.25,105.9333,67.6,91,90,1.52,CN,2022-07-05 22:33:30
138,Talnakh,69.4865,88.3972,54.21,51,100,2.75,RU,2022-07-05 22:33:31
139,Iqaluit,63.7506,-68.5145,42.53,93,100,2.3,CA,2022-07-05 22:33:31
140,Cristalina,-16.7686,-47.6136,59.5,53,0,3.96,BR,2022-07-05 22:33:31
141,Severo-Kurilsk,50.6789,156.125,53.64,75,19,8.95,RU,2022-07-05 22:32:16
142,Codrington,-38.2667,141.9667,42.15,92,9,9.66,AU,2022-07-05 22:33:32
143,Eunice,30.4944,-92.4176,87.69,62,94,9.55,US,2022-07-05 22:30:10
144,Mabaruma,8.2,-59.7833,76.53,87,75,4.34,GY,2022-07-05 22:33:33
145,Sawakin,19.1059,37.3321,89.87,43,62,3.53,SD,2022-07-05 22:33:33
146,Kashi,39.4547,75.9797,85.21,21,0,17.9,CN,2022-07-05 22:33:33
147,Bac Lieu,9.285,105.7244,80.46,85,99,8.25,VN,2022-07-05 22:33:34
148,Hambantota,6.1241,81.1185,79.47,80,100,16.78,LK,2022-07-05 22:33:34
149,Thompson,55.7435,-97.8558,69.96,32,40,4.61,CA,2022-07-05 22:33:35
